,custo_xA,custo_xB,custo_xC,obj
0,0.5,0.6,0.1,1.5
0,0.6,0.6,0.1,1.5
0,0.7,0.6,0.1,1.5
0,0.8,0.6,0.1,1.5
0,0.9,0.6,0.1,1.5
0,1.0,0.6,0.1,1.5
0,0.1,0.7,0.1,1.142857142857143
0,0.2,0.7,0.1,1.5
0,0.3,0.7,0.1,1.5
0,0.4,0.7,0.1,1.5
0,0.5,0.7,0.1,1.5
0,0.6,0.7,0.1,1.5
0,0.7,0.7,0.1,1.5
0,0.8,0.7,0.1,1.5
0,0.9,0.7,0.1,1.5
0,1.0,0.7,0.1,1.5
0,0.1,0.8,0.1,1.142857142857143
0,0.2,0.8,0.1,1.5
0,0.3,0.8,0.1,1.5
0,0.4,0.8,0.1,1.5
0,0.5,0.8,0.1,1.5
0,0.6,0.8,0.1,1.5
0,0.7,0.8,0.1,1.5
0,0.8,0.8,0.1,1.5
0,0.9,0.8,0.1,1.5
0,1.0,0.8,0.1,1.5
0,0.1,0.9,0.1,1.142857142857143
0,0.2,0.9,0.1,1.5
0,0.3,0.9,0.1,1.5
0,0.4,0.9,0.1,1.5
0,0.5,0.9,0.1,1.5
0,0.6,0.9,0.1,1.5
0,0.7,0.9,0.1,1.5
0,0.8,0.9,0.1,1.5
0,0.9,0.9,0.1,1.5
0,1.0,0.9,0.1,1.5
0,0.1,1.0,0.1,1.142857142857143
0,0.2,1.0,0.1,1.5
0,0.3,1.0,0.1,1.5
0,0.4,1.0,0.1,1.5
0,0.5,1.0,0.1,1.5
0,0.6,1.0,0.1,1.5
0,0.7,1.0,0.1,1.5
0,0.8,1.0,0.1,1.5
0,0.9,1.0,0.1,1.5
0,1.0,1.0,0.1,1.5
0,0.1,0.1,0.2,1.4000000000000001
0,0.2,0.1,0.2,2.2
0,0.3,0.1,0.2,3.0
0,0.4,0.1,0.2,3.0
0,0.5,0.1,0.2,3.0
0,0.6,0.1,0.2,3.0
0,0.7,0.1,0.2,3.0
0,0.8,0.1,0.2,3.0
0,0.9,0.1,0.2,3.0
0,1.0,0.1,0.2,3.0
0,0.1,0.2,0.2,1.5714285714285716
0,0.2,0.2,0.2,2.285714285714286
0,0.3,0.2,0.2,3.0
0,0.4,0.2,0.2,3.0
0,0.5,0.2,0.2,3.0
0,0.6,0.2,0.2,3.0
0,0.7,0.2,0.2,3.0
0,0.8,0.2,0.2,3.0
0,0.9,0.2,0.2,3.0
0,1.0,0.2,0.2,3.0
0,0.1,0.3,0.2,1.5714285714285716
0,0.2,0.3,0.2,2.285714285714286
0,0.3,0.3,0.2,3.0
0,0.4,0.3,0.2,3.0
0,0.5,0.3,0.2,3.0
0,0.6,0.3,0.2,3.0
0,0.7,0.3,0.2,3.0
0,0.8,0.3,0.2,3.0
0,0.9,0.3,0.2,3.0
0,1.0,0.3,0.2,3.0
0,0.1,0.4,0.2,1.5714285714285716
0,0.2,0.4,0.2,2.285714285714286
0,0.3,0.4,0.2,3.0
0,0.4,0.4,0.2,3.0
0,0.5,0.4,0.2,3.0
0,0.6,0.4,0.2,3.0
0,0.7,0.4,0.2,3.0
0,0.8,0.4,0.2,3.0
0,0.9,0.4,0.2,3.0
0,1.0,0.4,0.2,3.0
0,0.1,0.5,0.2,1.5714285714285716
0,0.2,0.5,0.2,2.285714285714286
0,0.3,0.5,0.2,3.0
0,0.4,0.5,0.2,3.0
0,0.5,0.5,0.2,3.0
0,0.6,0.5,0.2,3.0
0,0.7,0.5,0.2,3.0
0,0.8,0.5,0.2,3.0
0,0.9,0.5,0.2,3.0
0,1.0,0.5,0.2,3.0
0,0.1,0.6,0.2,1.5714285714285716
0,0.2,0.6,0.2,2.285714285714286
0,0.3,0.6,0.2,3.0
0,0.4,0.6,0.2,3.0
0,0.5,0.6,0.2,3.0
0,0.6,0.6,0.2,3.0
0,0.7,0.6,0.2,3.0
0,0.8,0.6,0.2,3.0
0,0.9,0.6,0.2,3.0
0,1.0,0.6,0.2,3.0
0,0.1,0.7,0.2,1.5714285714285716
0,0.2,0.7,0.2,2.285714285714286
0,0.3,0.7,0.2,3.0
0,0.4,0.7,0.2,3.0
0,0.5,0.7,0.2,3.0
0,0.6,0.7,0.2,3.0
0,0.7,0.7,0.2,3.0
0,0.8,0.7,0.2,3.0
0,0.9,0.7,0.2,3.0
0,1.0,0.7,0.2,3.0
0,0.1,0.8,0.2,1.5714285714285716
0,0.2,0.8,0.2,2.285714285714286
0,0.3,0.8,0.2,3.0
0,0.4,0.8,0.2,3.0
0,0.5,0.8,0.2,3.0
0,0.6,0.8,0.2,3.0
0,0.7,0.8,0.2,3.0
0,0.8,0.8,0.2,3.0
0,0.9,0.8,0.2,3.0
0,1.0,0.8,0.2,3.0
0,0.1,0.9,0.2,1.5714285714285716
0,0.2,0.9,0.2,2.285714285714286
0,0.3,0.9,0.2,3.0
0,0.4,0.9,0.2,3.0
0,0.5,0.9,0.2,3.0
0,0.6,0.9,0.2,3.0
0,0.7,0.9,0.2,3.0
0,0.8,0.9,0.2,3.0
0,0.9,0.9,0.2,3.0
0,1.0,0.9,0.2,3.0
0,0.1,1.0,0.2,1.5714285714285716
0,0.2,1.0,0.2,2.285714285714286
0,0.3,1.0,0.2,3.0
0,0.4,1.0,0.2,3.0
0,0.5,1.0,0.2,3.0
0,0.6,1.0,0.2,3.0
0,0.7,1.0,0.2,3.0
0,0.8,1.0,0.2,3.0
0,0.9,1.0,0.2,3.0
0,1.0,1.0,0.2,3.0
0,0.1,0.1,0.3,1.4000000000000001
0,0.2,0.1,0.3,2.2
0,0.3,0.1,0.3,3.0
0,0.4,0.1,0.3,3.0
0,0.5,0.1,0.3,3.0
0,0.6,0.1,0.3,3.0
0,0.7,0.1,0.3,3.0
0,0.8,0.1,0.3,3.0
0,0.9,0.1,0.3,3.0
0,1.0,0.1,0.3,3.0
0,0.1,0.2,0.3,2.0
0,0.2,0.2,0.3,2.7142857142857144
0,0.3,0.2,0.3,3.4285714285714284
0,0.4,0.2,0.3,4.142857142857143
0,0.5,0.2,0.3,4.5
0,0.6,0.2,0.3,4.5
0,0.7,0.2,0.3,4.5
0,0.8,0.2,0.3,4.5
0,0.9,0.2,0.3,4.5
0,1.0,0.2,0.3,4.5
0,0.1,0.3,0.3,2.0
0,0.2,0.3,0.3,2.7142857142857144
0,0.3,0.3,0.3,3.4285714285714284
0,0.4,0.3,0.3,4.142857142857143
0,0.5,0.3,0.3,4.5
0,0.6,0.3,0.3,4.5
0,0.7,0.3,0.3,4.5
0,0.8,0.3,0.3,4.5
0,0.9,0.3,0.3,4.5
0,1.0,0.3,0.3,4.5
0,0.1,0.4,0.3,2.0
0,0.2,0.4,0.3,2.7142857142857144
0,0.3,0.4,0.3,3.4285714285714284
0,0.4,0.4,0.3,4.142857142857143
0,0.5,0.4,0.3,4.5
0,0.6,0.4,0.3,4.5
0,0.7,0.4,0.3,4.5
0,0.8,0.4,0.3,4.5
0,0.9,0.4,0.3,4.5
0,1.0,0.4,0.3,4.5
0,0.1,0.5,0.3,2.0
0,0.2,0.5,0.3,2.7142857142857144
0,0.3,0.5,0.3,3.4285714285714284
0,0.4,0.5,0.3,4.142857142857143
0,0.5,0.5,0.3,4.5
0,0.6,0.5,0.3,4.5
0,0.7,0.5,0.3,4.5
0,0.8,0.5,0.3,4.5
0,0.9,0.5,0.3,4.5
0,1.0,0.5,0.3,4.5
0,0.1,0.6,0.3,2.0
0,0.2,0.6,0.3,2.7142857142857144
0,0.3,0.6,0.3,3.4285714285714284
0,0.4,0.6,0.3,4.142857142857143
0,0.5,0.6,0.3,4.5
0,0.6,0.6,0.3,4.5
0,0.7,0.6,0.3,4.5
0,0.8,0.6,0.3,4.5
0,0.9,0.6,0.3,4.5
0,1.0,0.6,0.3,4.5
0,0.1,0.7,0.3,2.0
0,0.2,0.7,0.3,2.7142857142857144
0,0.3,0.7,0.3,3.4285714285714284
0,0.4,0.7,0.3,4.142857142857143
0,0.5,0.7,0.3,4.5
0,0.6,0.7,0.3,4.5
0,0.7,0.7,0.3,4.5
0,0.8,0.7,0.3,4.5
0,0.9,0.7,0.3,4.5
0,1.0,0.7,0.3,4.5
0,0.1,0.8,0.3,2.0
0,0.2,0.8,0.3,2.7142857142857144
0,0.3,0.8,0.3,3.4285714285714284
0,0.4,0.8,0.3,4.142857142857143
0,0.5,0.8,0.3,4.5
0,0.6,0.8,0.3,4.5
0,0.7,0.8,0.3,4.5
0,0.8,0.8,0.3,4.5
0,0.9,0.8,0.3,4.5
0,1.0,0.8,0.3,4.5
0,0.1,0.9,0.3,2.0
0,0.2,0.9,0.3,2.7142857142857144
0,0.3,0.9,0.3,3.4285714285714284
0,0.4,0.9,0.3,4.142857142857143
0,0.5,0.9,0.3,4.5
0,0.6,0.9,0.3,4.5
0,0.7,0.9,0.3,4.5
0,0.8,0.9,0.3,4.5
0,0.9,0.9,0.3,4.5
0,1.0,0.9,0.3,4.5
0,0.1,1.0,0.3,2.0
0,0.2,1.0,0.3,2.7142857142857144
0,0.3,1.0,0.3,3.4285714285714284
0,0.4,1.0,0.3,4.142857142857143
0,0.5,1.0,0.3,4.5
0,0.6,1.0,0.3,4.5
0,0.7,1.0,0.3,4.5
0,0.8,1.0,0.3,4.5
0,0.9,1.0,0.3,4.5
0,1.0,1.0,0.3,4.5
0,0.1,0.1,0.4,1.4000000000000001
0,0.2,0.1,0.4,2.2
0,0.3,0.1,0.4,3.0
0,0.4,0.1,0.4,3.0
0,0.5,0.1,0.4,3.0
0,0.6,0.1,0.4,3.0
0,0.7,0.1,0.4,3.0
0,0.8,0.1,0.4,3.0
0,0.9,0.1,0.4,3.0
0,1.0,0.1,0.4,3.0
0,0.1,0.2,0.4,2.0
0,0.2,0.2,0.4,2.8000000000000003
0,0.3,0.2,0.4,3.6
0,0.4,0.2,0.4,4.4
0,0.5,0.2,0.4,5.2
0,0.6,0.2,0.4,6.0
0,0.7,0.2,0.4,6.0
0,0.8,0.2,0.4,6.0
0,0.9,0.2,0.4,6.0
0,1.0,0.2,0.4,6.0
0,0.1,0.3,0.4,2.0
0,0.2,0.3,0.4,3.1428571428571432
0,0.3,0.3,0.4,3.857142857142857
0,0.4,0.3,0.4,4.571428571428572
0,0.5,0.3,0.4,5.2857142857142865
0,0.6,0.3,0.4,6.0
0,0.7,0.3,0.4,6.0
0,0.8,0.3,0.4,6.0
0,0.9,0.3,0.4,6.0
0,1.0,0.3,0.4,6.0
0,0.1,0.4,0.4,2.0
0,0.2,0.4,0.4,3.1428571428571432
0,0.3,0.4,0.4,3.857142857142857
0,0.4,0.4,0.4,4.571428571428572
0,0.5,0.4,0.4,5.2857142857142865
0,0.6,0.4,0.4,6.0
0,0.7,0.4,0.4,6.0
0,0.8,0.4,0.4,6.0
0,0.9,0.4,0.4,6.0
0,1.0,0.4,0.4,6.0
0,0.1,0.5,0.4,2.0
0,0.2,0.5,0.4,3.1428571428571432
0,0.3,0.5,0.4,3.857142857142857
0,0.4,0.5,0.4,4.571428571428572
0,0.5,0.5,0.4,5.2857142857142865
0,0.6,0.5,0.4,6.0
0,0.7,0.5,0.4,6.0
0,0.8,0.5,0.4,6.0
0,0.9,0.5,0.4,6.0
0,1.0,0.5,0.4,6.0
0,0.1,0.6,0.4,2.0
0,0.2,0.6,0.4,3.1428571428571432
0,0.3,0.6,0.4,3.857142857142857
0,0.4,0.6,0.4,4.571428571428572
0,0.5,0.6,0.4,5.2857142857142865
0,0.6,0.6,0.4,6.0
0,0.7,0.6,0.4,6.0
0,0.8,0.6,0.4,6.0
0,0.9,0.6,0.4,6.0
0,1.0,0.6,0.4,6.0
0,0.1,0.7,0.4,2.0
0,0.2,0.7,0.4,3.1428571428571432
0,0.3,0.7,0.4,3.857142857142857
0,0.4,0.7,0.4,4.571428571428572
0,0.5,0.7,0.4,5.2857142857142865
0,0.6,0.7,0.4,6.0
0,0.7,0.7,0.4,6.0
0,0.8,0.7,0.4,6.0
0,0.9,0.7,0.4,6.0
0,1.0,0.7,0.4,6.0
0,0.1,0.8,0.4,2.0
0,0.2,0.8,0.4,3.1428571428571432
0,0.3,0.8,0.4,3.857142857142857
0,0.4,0.8,0.4,4.571428571428572
0,0.5,0.8,0.4,5.2857142857142865
0,0.6,0.8,0.4,6.0
0,0.7,0.8,0.4,6.0
0,0.8,0.8,0.4,6.0
0,0.9,0.8,0.4,6.0
0,1.0,0.8,0.4,6.0
0,0.1,0.9,0.4,2.0
0,0.2,0.9,0.4,3.1428571428571432
0,0.3,0.9,0.4,3.857142857142857
0,0.4,0.9,0.4,4.571428571428572
0,0.5,0.9,0.4,5.2857142857142865
0,0.6,0.9,0.4,6.0
0,0.7,0.9,0.4,6.0
0,0.8,0.9,0.4,6.0
0,0.9,0.9,0.4,6.0
0,1.0,0.9,0.4,6.0
0,0.1,1.0,0.4,2.0
0,0.2,1.0,0.4,3.1428571428571432
0,0.3,1.0,0.4,3.857142857142857
0,0.4,1.0,0.4,4.571428571428572
0,0.5,1.0,0.4,5.2857142857142865
0,0.6,1.0,0.4,6.0
0,0.7,1.0,0.4,6.0
0,0.8,1.0,0.4,6.0
0,0.9,1.0,0.4,6.0
0,1.0,1.0,0.4,6.0
0,0.1,0.1,0.5,1.4000000000000001
0,0.2,0.1,0.5,2.2
0,0.3,0.1,0.5,3.0
0,0.4,0.1,0.5,3.0
0,0.5,0.1,0.5,3.0
0,0.6,0.1,0.5,3.0
0,0.7,0.1,0.5,3.0
0,0.8,0.1,0.5,3.0
0,0.9,0.1,0.5,3.0
0,1.0,0.1,0.5,3.0
0,0.1,0.2,0.5,2.0
0,0.2,0.2,0.5,2.8000000000000003
0,0.3,0.2,0.5,3.6
0,0.4,0.2,0.5,4.4
0,0.5,0.2,0.5,5.2
0,0.6,0.2,0.5,6.0
0,0.7,0.2,0.5,6.0
0,0.8,0.2,0.5,6.0
0,0.9,0.2,0.5,6.0
0,1.0,0.2,0.5,6.0
0,0.1,0.3,0.5,2.0
0,0.2,0.3,0.5,3.4
0,0.3,0.3,0.5,4.199999999999999
0,0.4,0.3,0.5,5.0
0,0.5,0.3,0.5,5.714285714285714
0,0.6,0.3,0.5,6.428571428571429
0,0.7,0.3,0.5,7.142857142857142
0,0.8,0.3,0.5,7.5
0,0.9,0.3,0.5,7.5
0,1.0,0.3,0.5,7.5
0,0.1,0.4,0.5,2.0
0,0.2,0.4,0.5,3.5714285714285716
0,0.3,0.4,0.5,4.285714285714286
0,0.4,0.4,0.5,5.0
0,0.5,0.4,0.5,5.714285714285714
0,0.6,0.4,0.5,6.428571428571429
0,0.7,0.4,0.5,7.142857142857142
0,0.8,0.4,0.5,7.5
0,0.9,0.4,0.5,7.5
0,1.0,0.4,0.5,7.5
0,0.1,0.5,0.5,2.0
0,0.2,0.5,0.5,3.5714285714285716
0,0.3,0.5,0.5,4.285714285714286
0,0.4,0.5,0.5,5.0
0,0.5,0.5,0.5,5.714285714285714
0,0.6,0.5,0.5,6.428571428571429
0,0.7,0.5,0.5,7.142857142857142
0,0.8,0.5,0.5,7.5
0,0.9,0.5,0.5,7.5
0,1.0,0.5,0.5,7.5
0,0.1,0.6,0.5,2.0
0,0.2,0.6,0.5,3.5714285714285716
0,0.3,0.6,0.5,4.285714285714286
0,0.4,0.6,0.5,5.0
0,0.5,0.6,0.5,5.714285714285714
0,0.6,0.6,0.5,6.428571428571429
0,0.7,0.6,0.5,7.142857142857142
0,0.8,0.6,0.5,7.5
0,0.9,0.6,0.5,7.5
0,1.0,0.6,0.5,7.5
0,0.1,0.7,0.5,2.0
0,0.2,0.7,0.5,3.5714285714285716
0,0.3,0.7,0.5,4.285714285714286
0,0.4,0.7,0.5,5.0
0,0.5,0.7,0.5,5.714285714285714
0,0.6,0.7,0.5,6.428571428571429
0,0.7,0.7,0.5,7.142857142857142
0,0.8,0.7,0.5,7.5
0,0.9,0.7,0.5,7.5
0,1.0,0.7,0.5,7.5
0,0.1,0.8,0.5,2.0
0,0.2,0.8,0.5,3.5714285714285716
0,0.3,0.8,0.5,4.285714285714286
0,0.4,0.8,0.5,5.0
0,0.5,0.8,0.5,5.714285714285714
0,0.6,0.8,0.5,6.428571428571429
0,0.7,0.8,0.5,7.142857142857142
0,0.8,0.8,0.5,7.5
0,0.9,0.8,0.5,7.5
0,1.0,0.8,0.5,7.5
0,0.1,0.9,0.5,2.0
0,0.2,0.9,0.5,3.5714285714285716
0,0.3,0.9,0.5,4.285714285714286
0,0.4,0.9,0.5,5.0
0,0.5,0.9,0.5,5.714285714285714
0,0.6,0.9,0.5,6.428571428571429
0,0.7,0.9,0.5,7.142857142857142
0,0.8,0.9,0.5,7.5
0,0.9,0.9,0.5,7.5
0,1.0,0.9,0.5,7.5
0,0.1,1.0,0.5,2.0
0,0.2,1.0,0.5,3.5714285714285716
0,0.3,1.0,0.5,4.285714285714286
0,0.4,1.0,0.5,5.0
0,0.5,1.0,0.5,5.714285714285714
0,0.6,1.0,0.5,6.428571428571429
0,0.7,1.0,0.5,7.142857142857142
0,0.8,1.0,0.5,7.5
0,0.9,1.0,0.5,7.5
0,1.0,1.0,0.5,7.5
0,0.1,0.1,0.6,1.4000000000000001
0,0.2,0.1,0.6,2.2
0,0.3,0.1,0.6,3.0
0,0.4,0.1,0.6,3.0
0,0.5,0.1,0.6,3.0
0,0.6,0.1,0.6,3.0
0,0.7,0.1,0.6,3.0
0,0.8,0.1,0.6,3.0
0,0.9,0.1,0.6,3.0
0,1.0,0.1,0.6,3.0
0,0.1,0.2,0.6,2.0
0,0.2,0.2,0.6,2.8000000000000003
0,0.3,0.2,0.6,3.6
0,0.4,0.2,0.6,4.4
0,0.5,0.2,0.6,5.2
0,0.6,0.2,0.6,6.0
0,0.7,0.2,0.6,6.0
0,0.8,0.2,0.6,6.0
0,0.9,0.2,0.6,6.0
0,1.0,0.2,0.6,6.0
0,0.1,0.3,0.6,2.0
0,0.2,0.3,0.6,3.4
0,0.3,0.3,0.6,4.199999999999999
0,0.4,0.3,0.6,5.0
0,0.5,0.3,0.6,5.8
0,0.6,0.3,0.6,6.6
0,0.7,0.3,0.6,7.3999999999999995
0,0.8,0.3,0.6,8.2
0,0.9,0.3,0.6,9.0
0,1.0,0.3,0.6,9.0
0,0.1,0.4,0.6,2.0
0,0.2,0.4,0.6,4.0
0,0.3,0.4,0.6,4.7142857142857135
0,0.4,0.4,0.6,5.428571428571429
0,0.5,0.4,0.6,6.142857142857142
0,0.6,0.4,0.6,6.857142857142857
0,0.7,0.4,0.6,7.571428571428571
0,0.8,0.4,0.6,8.285714285714286
0,0.9,0.4,0.6,9.0
0,1.0,0.4,0.6,9.0
0,0.1,0.5,0.6,2.0
0,0.2,0.5,0.6,4.0
0,0.3,0.5,0.6,4.7142857142857135
0,0.4,0.5,0.6,5.428571428571429
0,0.5,0.5,0.6,6.142857142857142
0,0.6,0.5,0.6,6.857142857142857
0,0.7,0.5,0.6,7.571428571428571
0,0.8,0.5,0.6,8.285714285714286
0,0.9,0.5,0.6,9.0
0,1.0,0.5,0.6,9.0
0,0.1,0.6,0.6,2.0
0,0.2,0.6,0.6,4.0
0,0.3,0.6,0.6,4.7142857142857135
0,0.4,0.6,0.6,5.428571428571429
0,0.5,0.6,0.6,6.142857142857142
0,0.6,0.6,0.6,6.857142857142857
0,0.7,0.6,0.6,7.571428571428571
0,0.8,0.6,0.6,8.285714285714286
0,0.9,0.6,0.6,9.0
0,1.0,0.6,0.6,9.0
0,0.1,0.7,0.6,2.0
0,0.2,0.7,0.6,4.0
0,0.3,0.7,0.6,4.7142857142857135
0,0.4,0.7,0.6,5.428571428571429
0,0.5,0.7,0.6,6.142857142857142
0,0.6,0.7,0.6,6.857142857142857
0,0.7,0.7,0.6,7.571428571428571
0,0.8,0.7,0.6,8.285714285714286
0,0.9,0.7,0.6,9.0
0,1.0,0.7,0.6,9.0
0,0.1,0.8,0.6,2.0
0,0.2,0.8,0.6,4.0
0,0.3,0.8,0.6,4.7142857142857135
0,0.4,0.8,0.6,5.428571428571429
0,0.5,0.8,0.6,6.142857142857142
0,0.6,0.8,0.6,6.857142857142857
0,0.7,0.8,0.6,7.571428571428571
0,0.8,0.8,0.6,8.285714285714286
0,0.9,0.8,0.6,9.0
0,1.0,0.8,0.6,9.0
0,0.1,0.9,0.6,2.0
0,0.2,0.9,0.6,4.0
0,0.3,0.9,0.6,4.7142857142857135
0,0.4,0.9,0.6,5.428571428571429
0,0.5,0.9,0.6,6.142857142857142
0,0.6,0.9,0.6,6.857142857142857
0,0.7,0.9,0.6,7.571428571428571
0,0.8,0.9,0.6,8.285714285714286
0,0.9,0.9,0.6,9.0
0,1.0,0.9,0.6,9.0
0,0.1,1.0,0.6,2.0
0,0.2,1.0,0.6,4.0
0,0.3,1.0,0.6,4.7142857142857135
0,0.4,1.0,0.6,5.428571428571429
0,0.5,1.0,0.6,6.142857142857142
0,0.6,1.0,0.6,6.857142857142857
0,0.7,1.0,0.6,7.571428571428571
0,0.8,1.0,0.6,8.285714285714286
0,0.9,1.0,0.6,9.0
0,1.0,1.0,0.6,9.0
0,0.1,0.1,0.7,1.4000000000000001
0,0.2,0.1,0.7,2.2
0,0.3,0.1,0.7,3.0
0,0.4,0.1,0.7,3.0
0,0.5,0.1,0.7,3.0
0,0.6,0.1,0.7,3.0
0,0.7,0.1,0.7,3.0
0,0.8,0.1,0.7,3.0
0,0.9,0.1,0.7,3.0
0,1.0,0.1,0.7,3.0
0,0.1,0.2,0.7,2.0
0,0.2,0.2,0.7,2.8000000000000003
0,0.3,0.2,0.7,3.6
0,0.4,0.2,0.7,4.4
0,0.5,0.2,0.7,5.2
0,0.6,0.2,0.7,6.0
0,0.7,0.2,0.7,6.0
0,0.8,0.2,0.7,6.0
0,0.9,0.2,0.7,6.0
0,1.0,0.2,0.7,6.0
0,0.1,0.3,0.7,2.0
0,0.2,0.3,0.7,3.4
0,0.3,0.3,0.7,4.199999999999999
0,0.4,0.3,0.7,5.0
0,0.5,0.3,0.7,5.8
0,0.6,0.3,0.7,6.6
0,0.7,0.3,0.7,7.3999999999999995
0,0.8,0.3,0.7,8.2
0,0.9,0.3,0.7,9.0
0,1.0,0.3,0.7,9.0
0,0.1,0.4,0.7,2.0
0,0.2,0.4,0.7,4.0
0,0.3,0.4,0.7,4.800000000000001
0,0.4,0.4,0.7,5.6000000000000005
0,0.5,0.4,0.7,6.4
0,0.6,0.4,0.7,7.2
0,0.7,0.4,0.7,8.0
0,0.8,0.4,0.7,8.714285714285715
0,0.9,0.4,0.7,9.428571428571429
0,1.0,0.4,0.7,10.142857142857142
0,0.1,0.5,0.7,2.0
0,0.2,0.5,0.7,4.0
0,0.3,0.5,0.7,5.142857142857142
0,0.4,0.5,0.7,5.857142857142858
0,0.5,0.5,0.7,6.571428571428571
0,0.6,0.5,0.7,7.285714285714285
0,0.7,0.5,0.7,8.0
0,0.8,0.5,0.7,8.714285714285715
0,0.9,0.5,0.7,9.428571428571429
0,1.0,0.5,0.7,10.142857142857142
0,0.1,0.6,0.7,2.0
0,0.2,0.6,0.7,4.0
0,0.3,0.6,0.7,5.142857142857142
0,0.4,0.6,0.7,5.857142857142858
0,0.5,0.6,0.7,6.571428571428571
0,0.6,0.6,0.7,7.285714285714285
0,0.7,0.6,0.7,8.0
0,0.8,0.6,0.7,8.714285714285715
0,0.9,0.6,0.7,9.428571428571429
0,1.0,0.6,0.7,10.142857142857142
0,0.1,0.7,0.7,2.0
0,0.2,0.7,0.7,4.0
0,0.3,0.7,0.7,5.142857142857142
0,0.4,0.7,0.7,5.857142857142858
0,0.5,0.7,0.7,6.571428571428571
0,0.6,0.7,0.7,7.285714285714285
0,0.7,0.7,0.7,8.0
0,0.8,0.7,0.7,8.714285714285715
0,0.9,0.7,0.7,9.428571428571429
0,1.0,0.7,0.7,10.142857142857142
0,0.1,0.8,0.7,2.0
0,0.2,0.8,0.7,4.0
0,0.3,0.8,0.7,5.142857142857142
0,0.4,0.8,0.7,5.857142857142858
0,0.5,0.8,0.7,6.571428571428571
0,0.6,0.8,0.7,7.285714285714285
0,0.7,0.8,0.7,8.0
0,0.8,0.8,0.7,8.714285714285715
0,0.9,0.8,0.7,9.428571428571429
0,1.0,0.8,0.7,10.142857142857142
0,0.1,0.9,0.7,2.0
0,0.2,0.9,0.7,4.0
0,0.3,0.9,0.7,5.142857142857142
0,0.4,0.9,0.7,5.857142857142858
0,0.5,0.9,0.7,6.571428571428571
0,0.6,0.9,0.7,7.285714285714285
0,0.7,0.9,0.7,8.0
0,0.8,0.9,0.7,8.714285714285715
0,0.9,0.9,0.7,9.428571428571429
0,1.0,0.9,0.7,10.142857142857142
0,0.1,1.0,0.7,2.0
0,0.2,1.0,0.7,4.0
0,0.3,1.0,0.7,5.142857142857142
0,0.4,1.0,0.7,5.857142857142858
0,0.5,1.0,0.7,6.571428571428571
0,0.6,1.0,0.7,7.285714285714285
0,0.7,1.0,0.7,8.0
0,0.8,1.0,0.7,8.714285714285715
0,0.9,1.0,0.7,9.428571428571429
0,1.0,1.0,0.7,10.142857142857142
0,0.1,0.1,0.8,1.4000000000000001
0,0.2,0.1,0.8,2.2
0,0.3,0.1,0.8,3.0
0,0.4,0.1,0.8,3.0
0,0.5,0.1,0.8,3.0
0,0.6,0.1,0.8,3.0
0,0.7,0.1,0.8,3.0
0,0.8,0.1,0.8,3.0
0,0.9,0.1,0.8,3.0
0,1.0,0.1,0.8,3.0
0,0.1,0.2,0.8,2.0
0,0.2,0.2,0.8,2.8000000000000003
0,0.3,0.2,0.8,3.6
0,0.4,0.2,0.8,4.4
0,0.5,0.2,0.8,5.2
0,0.6,0.2,0.8,6.0
0,0.7,0.2,0.8,6.0
0,0.8,0.2,0.8,6.0
0,0.9,0.2,0.8,6.0
0,1.0,0.2,0.8,6.0
